,Product:,Sale Date:,Category:,Quantity:,Total Price:,Total Profit:,Payment Type:,Customer Details:
46,Gertrude Cardigan,2025-01-06,Women — Tops,1,€24.00,€14.40,Debit Card,ID: 18566Location: WaterfordGender: MaleAge Range: 25-34
47,Gertrude Cardigan,2025-01-06,Women — Tops,1,€24.00,€14.40,Debit Card,ID: 18566Location: WaterfordGender: MaleAge Range: 25-34
48,Black Slim Fit Jeans,06-01-2025,Men — Jeans,1,€46.00,€18.40,Debit Card,City: DublinCust ID: 10644Age Group: 25-34Gender: Female
49,Black Slim Fit Jeans,06-01-2025,Men — Jeans,1,€46.00,€18.40,Debit Card,City: DublinCust ID: 10644Age Group: 25-34Gender: Female
50,Blue Puff Sleeve T-shirt Five Pack,2025-01-07,Children — Girls Clothing,2,EUR 43.00,EUR 21.93,Credit Card,ID: 10491Location: LouthGender: FAge Group: 45-54
51,Blue Puff Sleeve T-shirt Five Pack,2025-01-07,Children — Girls Clothing,2,EUR 43.00,EUR 21.93,Credit Card,ID: 10491Location: LouthGender: FAge Group: 45-54
52,Lattice Runner,07 Jan 2025,Homeware — Design,2,EUR 172.00,EUR 68.80,Credit Card,ID 1519From: DublinGender: FemaleAge: None
53,Lattice Runner,07 Jan 2025,Homeware — Design,2,EUR 172.00,EUR 68.80,Credit Card,ID 1519From: DublinGender: FemaleAge: None
54,White Colour Block T-Shirt,2025-01-07,Children — Boys Clothing,3,67.50,34.42,Debit Card,Gender: MaleCust ID: 14687City: TipperaryAge Group: 25-34
55,White Colour Block T-Shirt,2025-01-07,Children — Boys Clothing,3,67.50,34.42,Debit Card,Gender: MaleCust ID: 14687City: TipperaryAge Group: 25-34
56,Rose Print Prom Dress,07 Jan 2025,Children — Girls Clothing,2,€74.00,€37.74,Debit Card,Cust ID: 5386City: DublinGender: MaleAge Category: 25-34
57,Rose Print Prom Dress,07 Jan 2025,Children — Girls Clothing,2,€74.00,€37.74,Debit Card,Cust ID: 5386City: DublinGender: MaleAge Category: 25-34
58,Rose Print Prom Dress,08-01-2025,Children — Girls Clothing,1,€ 37.00,€ 18.87,Debit Card,ID: 5960Location: CavanGender: FAge Range: 35—44
59,Rose Print Prom Dress,08-01-2025,Children — Girls Clothing,1,€ 37.00,€ 18.87,Debit Card,ID: 5960Location: CavanGender: FAge Range: 35—44
60,Rose Print Prom Dress,"Apr 01, 2025",Children — Girls Clothing,2,EUR 74.00,EUR 37.74,Credit Card,Age Category: 25–34Gender: MCust ID: 17100Location Wexford
61,Rose Print Prom Dress,"Apr 01, 2025",Children — Girls Clothing,2,EUR 74.00,EUR 37.74,Credit Card,Age Category: 25–34Gender: MCust ID: 17100Location Wexford
62,Black Jersey Denim Leggings,2025-04-01,Men — Trousers,1,EUR 57.00,EUR 27.93,Voucher,ID: 13094Location GalwayGender: FemaleAge Category: 18-24
63,Black Jersey Denim Leggings,2025-04-01,Men — Trousers,1,EUR 57.00,EUR 27.93,Voucher,ID: 13094Location GalwayGender: FemaleAge Category: 18-24
64,Pink Slim Fit Double Cuff Shirt,2025-04-01,Men — Shirts,1,EUR 29.00,EUR 11.02,Credit Card,Cust ID: 1312City: DublinGender: MaleAge Category: 25-34
65,Pink Slim Fit Double Cuff Shirt,2025-04-01,Men — Shirts,1,EUR 29.00,EUR 11.02,Credit Card,Cust ID: 1312City: DublinGender: MaleAge Category: 25-34
66,Blue Puff Sleeve T-shirt Five Pack,01-04-2025,Children — Girls Clothing,3,EUR 64.50,EUR 32.90,Credit Card,Cust ID: 3244Location: WicklowGender: Prefer not to sayAge Category: 35-44
67,Blue Puff Sleeve T-shirt Five Pack,01-04-2025,Children — Girls Clothing,3,EUR 64.50,EUR 32.90,Credit Card,Cust ID: 3244Location: WicklowGender: Prefer not to sayAge Category: 35-44
68,Grey Marl Panda Face Crew,2025-04-01,Children — Boys Clothing,3,€ 34.50,€ 17.59,Credit Card,Gender: FemaleAge Group: 25-34Cust ID: 10219City: Dublin
69,Grey Marl Panda Face Crew,2025-04-01,Children — Boys Clothing,3,€ 34.50,€ 17.59,Credit Card,Gender: FemaleAge Group: 25-34Cust ID: 10219City: Dublin
70,Black Skinny Fit Jeans,2025-04-01,Men — Jeans,1,EUR 46.00,EUR 18.40,CC,Customer ID: 4474Location: DublinGender: FemaleAge Category: 25-34
71,Black Skinny Fit Jeans,2025-04-01,Men — Jeans,1,EUR 46.00,EUR 18.40,CC,Customer ID: 4474Location: DublinGender: FemaleAge Category: 25-34
72,Blue Floral Embroidered Mac,2025-04-01,Children — Girls Clothing,1,€ 35.00,€ 17.85,Credit Card,Location: CorkAge Range: 35-44Cust ID: 18712Gender: Male
73,Blue Floral Embroidered Mac,2025-04-01,Children — Girls Clothing,1,€ 35.00,€ 17.85,Credit Card,Location: CorkAge Range: 35-44Cust ID: 18712Gender: Male
74,Double Wall Mug,2025-04-01,Homeware — Design,1,€12.50,€5.00,Credit Card,ID: 12600From: CorkGender: MaleAge Range: 25-34
75,Double Wall Mug,2025-04-01,Homeware — Design,1,€12.50,€5.00,Credit Card,ID: 12600From: CorkGender: MaleAge Range: 25-34
76,Chevron Pattern Towering Heels,2025-04-01,Men — Shoes,1,57.00,25.65,CC,Cust ID: 17366Location: DublinGender: FemaleAge: 35-44
77,Chevron Pattern Towering Heels,2025-04-01,Men — Shoes,1,57.00,25.65,CC,Cust ID: 17366Location: DublinGender: FemaleAge: 35-44
78,Pink Slim Fit Double Cuff Shirt,2025-04-02,Men — Shirts,1,€29.00,€11.02,PayPal,ID: 4295Location OffalyGender: FemaleAge Range: 25—34
79,Pink Slim Fit Double Cuff Shirt,2025-04-02,Men — Shirts,1,€29.00,€11.02,PayPal,ID: 4295Location OffalyGender: FemaleAge Range: 25—34
80,Black Skinny Fit Ultra Flex Jeans,02-04-2025,Men — Jeans,1,€ 29.70,€ 9.90,Debit Card,Cust ID: 5909City: LouthGender: FemaleAge: 35-44
81,Black Skinny Fit Ultra Flex Jeans,02-04-2025,Men — Jeans,1,€ 29.70,€ 9.90,Debit Card,Cust ID: 5909City: LouthGender: FemaleAge: 35-44
82,Dark Blue Belted Jeans,2025-04-02,Men — Jeans,1,€ 29.00,€ 11.60,PayPal,ID 5828From: MeathGender: FemaleAge Category: 25-34
83,Dark Blue Belted Jeans,2025-04-02,Men — Jeans,1,€ 29.00,€ 11.60,PayPal,ID 5828From: MeathGender: FemaleAge Category: 25-34
84,Ultimate Feels Like Down Duvet,02-04-2025,Homeware — Bed Bath,2,€ 136.00,€ 47.60,PayPal,ID: 11381City: GalwayGender: FAge: 45–54
85,Ultimate Feels Like Down Duvet,02-04-2025,Homeware — Bed Bath,2,€ 136.00,€ 47.60,PayPal,ID: 11381City: GalwayGender: FAge: 45–54
86,Soft Velour Eyelet Lined Curtains,2025-04-02,Homeware — Design,3,€318.00,€127.20,Credit Card,Cust ID: 1116Location: WicklowGender: MaleAge Category: 25-34
87,Soft Velour Eyelet Lined Curtains,2025-04-02,Homeware — Design,3,€318.00,€127.20,Credit Card,Cust ID: 1116Location: WicklowGender: MaleAge Category: 25-34
88,Harriet Chambray Top,2025-04-03,Women — Tops,1,31.50,17.50,Credit Card,ID 10994Location: DublinGender: MAge Range: 25-34
89,Harriet Chambray Top,2025-04-03,Women — Tops,1,31.50,17.50,Credit Card,ID 10994Location: DublinGender: MAge Range: 25-34
90,Double Wall Mug,2025-04-03,Homeware — Design,1,€ 12.50,€ 5.00,Credit Card,Location: MeathCustomer ID: 13066Gender: FemaleAge Range: 25–34
91,Double Wall Mug,2025-04-03,Homeware — Design,1,€ 12.50,€ 5.00,Credit Card,Location: MeathCustomer ID: 13066Gender: FemaleAge Range: 25–34
92,Navy Jersey Joggers,2025-04-03,Men — Trousers,2,48.00,23.52,Debit Card,Customer ID: 11222Location: CorkGender: FemaleAge Group: 35-44
93,Navy Jersey Joggers,2025-04-03,Men — Trousers,2,48.00,23.52,Debit Card,Customer ID: 11222Location: CorkGender: FemaleAge Group: 35-44
94,Blue Floral Embroidered Mac,03 Apr 2025,Children — Girls Clothing,1,EUR 31.50,EUR 14.35,Credit Card,ID: 14284From: DublinGender: MaleAge: 35-44
95,Blue Floral Embroidered Mac,03 Apr 2025,Children — Girls Clothing,1,EUR 31.50,EUR 14.35,Credit Card,ID: 14284From: DublinGender: MaleAge: 35-44
96,Long Sleeve Swing Shirt,2025-04-03,Women  — Tops,1,€31.50,€17.50,PayPal,ID: 15553Location: CorkGender: Prefer not to sayAge Category: 25-34
97,Long Sleeve Swing Shirt,2025-04-03,Women  — Tops,1,€31.50,€17.50,PayPal,ID: 15553Location: CorkGender: Prefer not to sayAge Category: 25-34
98,Multi Short Sleeve Character T-shirt,2025-04-04,Children  — Boys Clothing,1,16.50,8.41,Credit Card,Cust ID: 5912From: DublinGender: MAge Category: 35-44
99,Multi Short Sleeve Character T-shirt,2025-04-04,Children  — Boys Clothing,1,16.50,8.41,Credit Card,Cust ID: 5912From: DublinGender: MAge Category: 35-44
100,Cydney Plaid Shirt,2025-04-04,Women  — Tops,1,€ 57.00,€ 34.20,Debit Card,ID: 18700City: MayoGender: MaleAge Range: 55-64
101,Cydney Plaid Shirt,2025-04-04,Women  — Tops,1,€ 57.00,€ 34.20,Debit Card,ID: 18700City: MayoGender: MaleAge Range: 55-64
102,Blue Floral Embroidered Mac,05 Apr 2025,Children — Girls Clothing,1,€ 35.00,€ 17.85,Debit Card,Cust ID: 18541City: CarlowGender: FemaleAge Range: 18–24
103,Blue Floral Embroidered Mac,05 Apr 2025,Children — Girls Clothing,1,€ 35.00,€ 17.85,Debit Card,Cust ID: 18541City: CarlowGender: FemaleAge Range: 18–24
104,Black Skinny Fit Ultra Flex Jeans,2025-04-05,Men — Jeans,1,33.00,13.20,Credit  Card,ID: 11237Location DublinGender: MAge Range: 45-54
105,Black Skinny Fit Ultra Flex Jeans,2025-04-05,Men — Jeans,1,33.00,13.20,Credit  Card,ID: 11237Location DublinGender: MAge Range: 45-54
106,Black Full Length Leggings,2025-04-05,Men — Trousers,1,EUR 46.00,EUR 22.54,Debit Card,ID 2481Location CavanGender: FemaleAge Range: 25-34
107,Black Full Length Leggings,2025-04-05,Men — Trousers,1,EUR 46.00,EUR 22.54,Debit Card,ID 2481Location CavanGender: FemaleAge Range: 25-34
108,Pink Cheque Shirt Dress,2025-04-05,Children  — Girls Clothing,1,€16.50,€8.41,Debit Card,Customer ID: 3403Location: DublinGender: FAge Group: 25-34
109,Pink Cheque Shirt Dress,2025-04-05,Children  — Girls Clothing,1,€16.50,€8.41,Debit Card,Customer ID: 3403Location: DublinGender: FAge Group: 25-34
110,Dark Wash Straight Fit Jeans,2025-04-06,Men  — Jeans,1,€ 33.00,€ 13.20,Credit Card,ID 15400Location: MeathGender: MaleAge: 18-24
111,Dark Wash Straight Fit Jeans,2025-04-06,Men  — Jeans,1,€ 33.00,€ 13.20,Credit Card,ID 15400Location: MeathGender: MaleAge: 18-24
112,Black Loose Fit Jeans,2025-04-06,Men — Jeans,1,€ 29.00,€ 11.60,PayPal,ID 15844Location DublinGender: FemaleAge Range: 45-54
113,Black Loose Fit Jeans,2025-04-06,Men — Jeans,1,€ 29.00,€ 11.60,PayPal,ID 15844Location DublinGender: FemaleAge Range: 45-54
114,Rose Print Prom Dress,2025-04-06,Children — Girls Clothing,1,€37.00,€18.87,Credit Card,Customer ID: 9412From: CavanGender: MaleAge Category: 25–34
115,Rose Print Prom Dress,2025-04-06,Children — Girls Clothing,1,€37.00,€18.87,Credit Card,Customer ID: 9412From: CavanGender: MaleAge Category: 25–34
116,Dwellers Stool,2025-04-06,Homeware — Design,3,31.05,10.35,Credit Card,ID: 1409City: SligoGender: FemaleAge Range: 25–34
117,Dwellers Stool,2025-04-06,Homeware — Design,3,31.05,10.35,Credit Card,ID: 1409City: SligoGender: FemaleAge Range: 25–34
118,Black Single Cuff Shirt,06 Apr 2025,Men — Shirts,1,42.00,15.96,Debit Card,Cust ID: 16647Location: ClareGender: FemaleAge Range: 45-54
119,Black Single Cuff Shirt,06 Apr 2025,Men — Shirts,1,42.00,15.96,Debit Card,Cust ID: 16647Location: ClareGender: FemaleAge Range: 45-54
120,Black Single Cuff Shirt,2025-07-01,Men — Shirts,1,€ 42.00,€ 15.96,Credit Card,ID: 14853City: CorkAge Category: 25-34Gender: Prefer not to say
121,Black Single Cuff Shirt,2025-07-01,Men — Shirts,1,€ 42.00,€ 15.96,Credit Card,ID: 14853City: CorkAge Category: 25-34Gender: Prefer not to say
122,Black Signature Point Court Shoes,01 Jul 2025,Men — Shoes,2,€88.00,€39.60,Credit Card,Cust ID: 1087Location: LouthGender: MAge: 55—64
123,Black Signature Point Court Shoes,01 Jul 2025,Men — Shoes,2,€88.00,€39.60,Credit Card,Cust ID: 1087Location: LouthGender: MAge: 55—64
124,Rose Print Prom Dress,2025-07-02,Children — Girls Clothing,1,€37.00,€18.87,Credit Card,Cust ID: 10497Location: WestmeathGender: FemaleAge Group: 18-24
125,Rose Print Prom Dress,2025-07-02,Children — Girls Clothing,1,€37.00,€18.87,Credit Card,Cust ID: 10497Location: WestmeathGender: FemaleAge Group: 18-24
126,Set of 3 Animal Canvas Prints,2025-07-02,Homeware  —  Design,1,€21.15,€7.05,Credit Card,ID 12834City: CorkGender: MAge: 55—64
127,Set of 3 Animal Canvas Prints,2025-07-02,Homeware  —  Design,1,€21.15,€7.05,Credit Card,ID 12834City: CorkGender: MAge: 55—64
128,Dark Wash Straight Fit Jeans,02-07-2025,Men — Jeans,1,33.00,13.20,Debit Card,ID: 8812Location: DublinGender: FemaleAge Group: 45—54
129,Dark Wash Straight Fit Jeans,02-07-2025,Men — Jeans,1,33.00,13.20,Debit Card,ID: 8812Location: DublinGender: FemaleAge Group: 45—54
130,Nude Peep Toe Cork Wedges,2025-07-02,Men — Shoes,2,€88.00,€39.60,Debit Card,ID: 2484Location: LaoisGender: FemaleAge Group: 18-24
131,Nude Peep Toe Cork Wedges,2025-07-02,Men — Shoes,2,€88.00,€39.60,Debit Card,ID: 2484Location: LaoisGender: FemaleAge Group: 18-24
132,Fluro Shorts Two Pack,02-07-2025,Children — Boys Clothing,4,€ 63.00,€ 28.70,Credit Card,From: TipperaryAge Category: 25–34Gender: FCustomer ID: 5279
133,Fluro Shorts Two Pack,02-07-2025,Children — Boys Clothing,4,€ 63.00,€ 28.70,Credit Card,From: TipperaryAge Category: 25–34Gender: FCustomer ID: 5279
134,Mid Blue Straight Fit Jeans,2025-07-02,Men — Jeans,1,€34.20,€11.40,Credit Card,From: WestmeathAge Category: 25-34Gender: FCustomer ID: 11009
135,Mid Blue Straight Fit Jeans,2025-07-02,Men — Jeans,1,€34.20,€11.40,Credit Card,From: WestmeathAge Category: 25-34Gender: FCustomer ID: 11009
136,Camp Stool,02-07-2025,Homeware — Design,5,82.50,33.00,Credit Card,Gender: FemaleAge Category: NoneCity: KilkennyCustomer ID: 2172
137,Camp Stool,02-07-2025,Homeware — Design,5,82.50,33.00,Credit Card,Gender: FemaleAge Category: NoneCity: KilkennyCustomer ID: 2172
138,Hawaiian Print Sun Safe Two Piece,02 Jul 2025,Children — Girls Clothing,2,35.00,17.85,Debit Card,ID 18197Location WaterfordGender: MaleAge Category: 35-44
139,Hawaiian Print Sun Safe Two Piece,02 Jul 2025,Children — Girls Clothing,2,35.00,17.85,Debit Card,ID 18197Location WaterfordGender: MaleAge Category: 35-44
140,Mola Headlamp,2025-07-03,Homeware — Design,1,€43.00,€17.20,Credit Card,ID: 18859City: GalwayGender: Prefer not to sayAge: 18-24
141,Mola Headlamp,2025-07-03,Homeware — Design,1,€43.00,€17.20,Credit Card,ID: 18859City: GalwayGender: Prefer not to sayAge: 18-24
142,White Tie and Shirt Set,2025-07-03,Men — Shirts,3,105.00,39.90,Credit Card,ID 15828Location: CorkGender: FAge: 35-44
143,White Tie and Shirt Set,2025-07-03,Men — Shirts,3,105.00,39.90,Credit Card,ID 15828Location: CorkGender: FAge: 35-44
144,Red Joggers Two Pack,"Jul 03, 2025",Children — Boys Clothing,1,€15.00,€7.65,Credit Card,Cust ID: 7591City: KildareGender: FemaleAge Category: 25-34
145,Red Joggers Two Pack,"Jul 03, 2025",Children — Boys Clothing,1,€15.00,€7.65,Credit Card,Cust ID: 7591City: KildareGender: FemaleAge Category: 25-34
146,Black Skinny Zip Trousers,03-07-2025,Men — Trousers,1,€ 46.00,€ 22.54,CC,Customer ID: 4716City: ClareGender: MaleAge Category: 35—44
147,Black Skinny Zip Trousers,03-07-2025,Men — Trousers,1,€ 46.00,€ 22.54,CC,Customer ID: 4716City: ClareGender: MaleAge Category: 35—44
148,Light Grey Straight Fit Jeans,2025-07-03,Men — Jeans,2,58.00,23.20,Debit Card,ID: 8378Location: DublinGender: MAge Group: 25-34
149,Light Grey Straight Fit Jeans,2025-07-03,Men — Jeans,2,58.00,23.20,Debit Card,ID: 8378Location: DublinGender: MAge Group: 25-34
150,Navy Crew and Jogger Set,2025-07-04,Children — Boys Clothing,1,17.50,8.93,Debit Card,ID 9241From: DublinGender: FemaleAge Range: 55-64
151,Navy Crew and Jogger Set,2025-07-04,Children — Boys Clothing,1,17.50,8.93,Debit Card,ID 9241From: DublinGender: FemaleAge Range: 55-64
152,Navy/White Long Sleeve Gingham Cheque Shirt,2025-07-04,Men — Shirts,2,€ 58.00,€ 22.04,Credit Card,ID 6006Location KildareGender: MAge Group: 25—34
153,Navy/White Long Sleeve Gingham Cheque Shirt,2025-07-04,Men — Shirts,2,€ 58.00,€ 22.04,Credit Card,ID 6006Location KildareGender: MAge Group: 25—34
154,Red Joggers Two Pack,2025-07-04,Children — Boys Clothing,1,€15.00,€7.65,Debit Card,ID 6344From: MeathGender: FemaleAge Range: 25–34
155,Red Joggers Two Pack,2025-07-04,Children — Boys Clothing,1,€15.00,€7.65,Debit Card,ID 6344From: MeathGender: FemaleAge Range: 25–34
156,Marshall Oxford Shirt,2025-07-04,Men — Shirts,1,€63.00,€23.94,Credit Card,ID 10331Location: DublinGender: FemaleAge Category: 55-64
157,Marshall Oxford Shirt,2025-07-04,Men — Shirts,1,€63.00,€23.94,Credit Card,ID 10331Location: DublinGender: FemaleAge Category: 55-64
158,Marshall Oxford Shirt,2025-07-04,Men — Shirts,2,€126.00,€47.88,Credit Card,Customer ID: 14659Location: WestmeathGender: FAge Category: 25-34
159,Marshall Oxford Shirt,2025-07-04,Men — Shirts,2,€126.00,€47.88,Credit Card,Customer ID: 14659Location: WestmeathGender: FAge Category: 25-34
160,Grey Marl Panda Face Crew,2025-07-04,Children — Boys Clothing,3,€34.50,€17.59,Credit Card,Cust ID: 14691City: DublinGender: FAge: 25–34
161,Grey Marl Panda Face Crew,2025-07-04,Children — Boys Clothing,3,€34.50,€17.59,Credit Card,Cust ID: 14691City: DublinGender: FAge: 25–34
162,Tan Leather Woven Slingbacks,"Jul 04, 2025",Men — Shoes,1,€ 43.00,€ 19.35,PayPal,Cust ID: 13059From: DublinGender: FemaleAge Group: 25-34
163,Tan Leather Woven Slingbacks,"Jul 04, 2025",Men — Shoes,1,€ 43.00,€ 19.35,PayPal,Cust ID: 13059From: DublinGender: FemaleAge Group: 25-34
164,Ultimate Feels Like Down Duvet,2025-07-04,Homeware — Bed Bath,2,136.00,47.60,Debit Card,Customer ID: 11744Location DublinGender: FemaleAge Range: 25-34
165,Ultimate Feels Like Down Duvet,2025-07-04,Homeware — Bed Bath,2,136.00,47.60,Debit Card,Customer ID: 11744Location DublinGender: FemaleAge Range: 25-34
166,Whitney Pullover,"Jul 04, 2025",Women — Tops,3,€ 148.50,€ 82.50,Credit Card,Cust ID: 18891City: MayoGender: FemaleAge Group: 25-34
167,Whitney Pullover,"Jul 04, 2025",Women — Tops,3,€ 148.50,€ 82.50,Credit Card,Cust ID: 18891City: MayoGender: FemaleAge Group: 25-34
168,Black Slim Fit Jeans,2025-07-04,Men — Jeans,1,€41.40,€13.80,Credit Card,Customer ID: 8447Location ClareGender: MaleAge Range: 18-24
169,Black Slim Fit Jeans,2025-07-04,Men — Jeans,1,€41.40,€13.80,Credit Card,Customer ID: 8447Location ClareGender: MaleAge Range: 18-24
